trueC,trueW,estC,estW1,estW2,estW3,estW4,estW5
0.5,equal,3.03217,0.0206819,0.0414512,0.229925,0.174016,0.533926
0.5,equal,1.08082,0.0716996,0.230816,0.209519,0.161163,0.326802
0.5,equal,3.59347,0.0208934,0.0108862,0.219578,0.195897,0.552745
0.5,equal,3.48937,0.0447506,0.0198169,0.508048,0.144271,0.283113
0.5,equal,1.16193,0.0559992,0.218474,0.0837232,0.325724,0.31608
0.5,equal,2.77944,0.0882369,0.0161512,0.604551,0.0732756,0.217785
0.5,equal,2.04212,0.14188,0.189339,0.0577401,0.0782506,0.53279
0.5,equal,2.17586,7.97291e-4,0.0256361,0.434667,0.350159,0.18874
0.5,equal,1.69655,7.48122e-4,0.0174012,0.823692,0.119065,0.0390933
0.5,equal,2.98527,0.181164,0.0305673,0.0585393,0.0686524,0.661077
0.5,equal,2.98527,0.181164,0.0305673,0.0585393,0.0686524,0.661077
0.5,equal,2.54123,0.0741365,0.196124,0.277535,0.0623498,0.389855
0.5,equal,2.24235,0.0845435,0.208903,0.379069,0.0373136,0.290171
0.5,equal,1.75107,0.238608,0.0688102,0.267327,0.120554,0.304701
0.5,equal,2.42917,0.0762891,0.00296351,0.178101,0.00924757,0.733399
0.5,equal,2.23325,0.205089,5.28919e-4,0.434341,0.00218733,0.357853
0.5,equal,3.42472,0.0154334,1.6365e-4,0.0978728,0.438242,0.448288
0.5,equal,3.78654,0.00495388,7.26851e-4,0.221656,0.0899442,0.682719
0.5,equal,3.44284,0.0127217,0.00348451,0.208699,0.417305,0.35779
0.5,equal,1.48158,0.181071,0.148315,0.233035,0.0591829,0.378396
0.5,equal,2.92388,0.056702,0.0764811,0.1632,0.304079,0.399538
0.5,equal,1.23272,0.271721,0.216788,0.163982,0.0501047,0.297405
0.5,equal,0.498977,0.182486,0.204441,0.0153198,0.329136,0.268617
0.5,equal,0.785636,0.120746,0.196168,0.0106018,0.335888,0.336596
0.5,equal,2.73168,0.0299704,0.0584456,0.693935,0.0291341,0.188514
0.5,equal,1.22229,0.101036,0.0450606,0.0163687,0.00225548,0.835279
0.5,equal,2.12427,0.102384,0.0699794,0.0557688,0.00211824,0.769749
0.5,equal,3.2783,0.114868,0.136486,0.54206,0.0628151,0.143772
0.5,equal,1.84172,0.128099,0.0572226,0.432213,0.095605,0.28686
0.5,equal,3.7385100000000002,0.0655307,0.113669,0.0791697,0.119614,0.622017
0.5,equal,3.08616,0.0303352,0.0473457,0.16906,0.423951,0.329308
0.5,equal,0.554438,0.317924,0.0410881,0.197199,0.0340008,0.409788
0.5,equal,4.40476,0.0300281,0.0937232,0.195905,0.322328,0.358016
0.5,equal,2.66732,0.0457809,0.0782598,0.1521,0.0613343,0.662525
0.5,equal,1.4538,0.0351153,0.138023,0.325076,0.0684642,0.433322
0.5,equal,1.8425,0.0286755,0.129418,0.660807,0.073422,0.107678
0.5,equal,0.748821,0.201058,0.026961,0.103962,0.340917,0.327102
0.5,equal,0.770607,0.300559,0.0704008,0.383773,0.170787,0.0744802
0.5,equal,1.08014,0.0461373,0.239033,0.12057,0.417265,0.176994
0.5,equal,2.60474,0.171076,0.0729959,0.19435,0.00422093,0.557357
0.5,equal,1.84204,0.0630782,0.308165,0.0559338,0.117585,0.455238
0.5,equal,2.63307,0.0242349,0.0110246,0.582596,0.132134,0.250011
0.5,equal,1.68282,0.232237,0.0917383,0.0328555,0.116405,0.526765
0.5,equal,2.27435,0.245645,0.0485405,0.0390701,0.126733,0.540011
0.5,equal,1.02714,0.0681561,0.149042,0.245633,0.250715,0.286454
0.5,equal,3.33228,0.145307,0.0789707,0.235662,0.132508,0.407553
0.5,equal,3.13072,0.0420093,0.039765,0.330056,0.198154,0.390016
0.5,equal,1.55201,0.0619557,0.115962,0.412386,0.0741629,0.335534
0.5,equal,0.680687,0.192364,0.0227608,0.0660971,0.232601,0.486178
0.5,equal,3.27587,0.0944036,0.142397,0.333604,0.108957,0.320639
0.5,equal,3.33562,0.0282722,0.0136499,0.151473,0.274273,0.532332
0.5,equal,0.996459,0.242153,0.0915405,0.220156,0.0758012,0.37035
0.5,equal,3.35499,0.0579877,0.0803898,8.13672e-4,0.288524,0.572285
0.5,equal,1.15571,0.114689,0.131947,0.715662,0.01649,0.0212121
0.5,equal,1.0258100000000001,0.0696426,0.149033,0.764468,0.00504263,0.0118142
0.5,equal,0.686947,0.165216,0.175849,0.29108,0.239694,0.128161
0.5,equal,2.98949,0.0738202,0.0741571,0.0648454,0.0826224,0.704555
0.5,equal,2.29226,0.0101358,0.0975694,0.487004,0.160793,0.244498
0.5,equal,2.89395,0.0241657,0.110128,0.274486,0.191862,0.399358
0.5,equal,1.28513,0.0694393,0.0768197,0.429635,0.113005,0.311101
0.5,equal,2.6816,0.149631,0.072504,0.186846,0.0187601,0.572259
0.5,equal,2.70466,0.0701714,0.0757107,0.222411,0.0344826,0.597225
0.5,equal,1.53576,0.187718,0.0178945,0.342388,0.389922,0.0620766
0.5,equal,2.43913,0.0603706,0.0403504,0.295108,0.0311737,0.572997
0.5,equal,1.88962,0.208083,0.0248032,0.40405,0.0735047,0.28956
0.5,equal,3.27488,0.125866,0.0450711,0.505298,0.0389624,0.284802
0.5,equal,3.54116,0.120602,0.173409,0.333301,0.0579413,0.314747
0.5,equal,3.54116,0.120602,0.173409,0.333301,0.0579413,0.314747
0.5,equal,2.39444,0.117356,0.0676021,0.112222,0.138529,0.564291
0.5,equal,2.32566,0.0589269,0.122955,0.231196,0.175195,0.411727
0.5,equal,2.25747,0.123592,0.120515,0.188083,0.106374,0.461436
0.5,equal,2.58936,0.0954832,0.0736511,0.0799699,0.184611,0.566285
0.5,equal,2.95876,0.134425,0.0215563,0.133593,0.0755434,0.634883
0.5,equal,1.19487,0.170757,0.382185,0.196836,0.16535,0.0848718
0.5,equal,0.540583,0.136169,0.251235,0.0494352,0.103093,0.460067
0.5,equal,2.41446,0.0625767,0.133731,0.456193,0.200557,0.146942
0.5,equal,2.35573,0.15468,0.0825804,0.278979,0.0427343,0.441026
0.5,equal,2.0159,0.0451472,0.0715338,0.263813,0.447857,0.171649
0.5,equal,2.11045,0.047074,0.0703791,0.346632,0.431787,0.104127
0.5,equal,1.35179,0.274417,0.121548,0.171687,0.0347449,0.397603
0.5,equal,1.98996,0.033228,0.0323952,0.101395,0.440599,0.392383
0.5,equal,2.96728,0.0208893,0.15076,0.444395,0.131708,0.25224800000000003
0.5,equal,2.88617,0.123529,0.0208479,0.106375,0.174452,0.574795
0.5,equal,0.893735,0.0224815,0.4069,0.266895,0.123587,0.180136
0.5,equal,2.4738,0.150489,0.041086,0.140441,0.184761,0.483223
0.5,equal,2.19233,0.0525858,0.0148202,0.42555,0.159158,0.347886
0.5,equal,2.1952,0.19113,0.146535,0.102097,0.138612,0.421626
0.5,equal,0.52745,0.214852,0.0990024,0.0328861,0.265702,0.387558
0.5,equal,2.04897,0.0978622,0.235979,0.469275,0.0839352,0.112948
0.5,equal,1.99253,0.0538289,0.139757,0.47864,0.242207,0.0855672
0.5,equal,1.01443,0.124019,0.0895013,0.17333,0.139007,0.474142
